_unit_id,pair_id,relation_gold,relation_gold_reason,sentence_1,sentence_2,speaker_1,speaker_2,topic
3085729586,n010145b07p4345,Neither,"Here, the speaker is reiterating an opinion, there is no support nor attack relation.",This is ridiculous.,Absolutely ridiculous.,Joe Biden,Joe Biden,Racism
3085729587,n000798b07p9495,Neither,The relation between these sentences is classified as neither because one of them is incomplete and the other one contains transcription labels.,But let me just tell you-,In [crosstalk 00:16:04]?,Donald Trump,Joe Biden,Economy
3085729588,n030538b07p3536,Attack,"This is an attack relation. Tump uses the sentence ""that's a big statement"" as an argument to what Biden said. This argument is meant to attack what Biden said.","By the way, I have a transition from the old industry, yes.","Oh, that’s a big statement.",Joe Biden,Donald Trump,Climate change
3085729589,n160224b07p1920,Support,"This is a support relation. It helps to put it in the following way: ""I couldn't be more proud […] [because] I'm pro-life"". ",I couldn’t be more proud to serve as vice president to a president who stands without apology for the sanctity of human life.,I’m pro-life.,Mike Pence,Mike Pence,Supreme Court
3085729590,n000056b07p5861,Neither,"These sentences are attacking different points being made in the conversation. However, they refer to different topics, and their relation is neither support nor attack.",There aren’t a hundred million people with pre-existing conditions.,We’re not elected for three years.,Donald Trump,Donald Trump,Supreme Court
3085729591,n000104b07p0406,Support,"The relationship is support. Trump accuses Biden of being late on the issue of COVID, because ""you didn't want me to ban Europe"". Although both statements attack the person of Biden, we need to realise that the sentences are supporting each other. ""You were late on the draw [...] [because] you didn't want me to ban Europe [when we should]"".","And if you were here, it wouldn’t be 200, it would be two million people because you were very late on the draw.",You didn’t want me to ban Europe.,Donald Trump,Donald Trump,Supreme Court
3085729592,n030111b07p1016,Attack,This is an attack relation. Biden states that separating kids from their parents is criminal. Trump counterargues that they're well taken care of. ,It’s criminal.,They are so well taken care of.,Joe Biden,Donald Trump,Minimum wage
3085729593,n140212b07p0506,Support,"This is a support relation. ""Mexico is heavily infected […], [therefore] we've made it very, very difficult to come […]"". Being heavily infected supports the decision of not allowing Mexicans to enter the country.","Mexico is heavily infected, as you know.","And we’ve made it very, very difficult to come in because of the pandemic, and other reasons, and crime.",Donald Trump,Donald Trump,Racism
3085729594,n120506b07p0406,Support,"This is a support relation. Although the first sentence is not completely finished, it's not difficult to imagine that the speakers wants to say ""we're going to have a phenomenal [year], [because] we had the greatest economy in the history of our country last year [and we should expect the same this year]"". In cases where the sentence is incomplete, you think think whether the information provided is enough to understand what the speaker wants to say. However, to consider this ambiguity, neither is also accepted.",We’re going to have a phenomenal…,"We had the greatest economy in the history of our country last year, including the state of Florida, where we are now.",Donald Trump,Donald Trump,COVID
3085729595,n040138b07p3436,Support,"This is a support relation. The scientists are ""not there yet"", because ""when they run into a serious problem, they halt the test"". ","When they run into a serious problem, they halt the test.",They’re not there yet.,Joe Biden,Joe Biden,COVID
3085729596,n030345b07p4345,Support,"This is a support relation. Trump states what he said before, because he didn't say ""I'm Abraham Lincoln"". ","I said, “Not since Abraham Lincoln has anybody done what I’ve done for the Black community.”","I didn’t say, “I’m Abraham Lincoln,” I said, “Not since Abraham Lincoln has anybody done what I’ve done for the Black community.” Now, you have done nothing other than the Crime Bill, which put-",Donald Trump,Donald Trump,Racism
3085729597,n120181b07p8284,Support,This is a support relation. The first sentence uses an example as an argument to support a claim in the second sentence.,We won a big case in Michigan because that governor has a lockdown where nobody but her husband can do anything.,The fact is we’re winning all these cases because it’s unconstitutional what they’re doing.,Donald Trump,Donald Trump,COVID
3085729598,n010045b07p3941,Neither,"This is neither support nor attack. Joe Biden affirms that he never said that, but he's not actually providing reasons.",African-Americans are super predators and they’ve never forgotten it.,I’ve never said-,Donald Trump,Joe Biden,Racism
3085729599,n040245b07p4649,Neither,This is neither support nor attack. The sentences are not providing any argument and context is insufficient.,"That actually works, George.",I got to get the votes.,Joe Biden,Joe Biden,Economy
